Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
28,New York Rangers,Nils Lundkvist\lundkni01,SE,D,18,,Lulea (Sweden),,,,,,,,,,,,
29,Toronto Maple Leafs,Rasmus Sandin\sandira01,SE,D,18,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,
30,Detroit Red Wings,Joseph Veleno\velenjo01,CA,C,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,
31,Washington Capitals,Alexander Alexeyev\alexeal01,RU,D,18,,Red Deer Rebels (WHL),,,,,,,,,,,,
32,Buffalo Sabres,Mattias Samuelsson\samuema02,US,D,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
33,Detroit Red Wings,Jonatan Berggren\berggjo02,SE,RW,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,
34,Florida Panthers,Serron Noel\noelse01,CA,RW,18,,Oshawa Generals (OHL),,,,,,,,,,,,
35,Montreal Canadiens,Jesse Ylonen\yloneje01,US,RW,18,,Espoo (Finland-2),,,,,,,,,,,,
36,Detroit Red Wings,Jared McIsaac\mcisaja01,CA,D,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,
37,Vancouver Canucks,Jett Woo\wooje01,CA,D,18,,Moose Jaw Warriors (WHL),,,,,,,,,,,,
38,Montreal Canadiens,Alexander Romanov\romanal01,RU,D,18,,CSKA 2 (Russia-Jr.),,,,,,,,,,,,
39,New York Rangers,Olof Lindbom\lindbol01,SE,G,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
40,Edmonton Oilers,Ryan McLeod\mcleory01,CA,C,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,
41,New York Islanders,Bode Wilde\wildebo01,CA,D,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
42,Carolina Hurricanes,Jack Drury\druryja01,US,C,18,,Waterloo (USHL),,,,,,,,,,,,
43,New York Islanders,Ruslan Iskhakov\iskharu01,RU,C,18,,CSKA 2 (Russia-Jr.),,,,,,,,,,,,
44,Dallas Stars,Albin Eriksson\eriksal01,SE,RW,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,
45,St. Louis Blues,Scott Perunovich\perunsc01,US,D,20,,Minnesota-Duluth (NCHC),,,,,,,,,,,,
46,Washington Capitals,Martin Fehervary\feherma01,SK,D,18,,Oskarshamn (Sweden-2),,,,,,,,,,,,
47,Washington Capitals,Kody Clark\clarkko01,US,RW,18,,Ottawa 67's (OHL),,,,,,,,,,,,
48,Ottawa Senators,Jonathan Tychonick\tychojo01,CA,D,18,,Penticton (BCHL),,,,,,,,,,,,
49,Columbus Blue Jackets,Kirill Marchenko\marchki01,RU,RW,18,,Khanty-Mansiysk 2 (Russia-Jr.),,,,,,,,,,,,
50,Philadelphia Flyers,Adam Ginning\ginniad01,SE,D,18,,Linkoping (Sweden),,,,,,,,,,,,
51,Los Angeles Kings,Akil Thomas\thomaak01,CA,C,18,,Niagara (OHL),,,,,,,,,,,,
52,Toronto Maple Leafs,Sean Durzi\durzise01,CA,D,19,,Owen Sound Attack (OHL),,,,,,,,,,,,
53,Pittsburgh Penguins,Calen Addison\addisca01,CA,D,18,,Lethbridge Hurricanes (WHL),,,,,,,,,,,,
54,Anaheim Ducks,Benoit-Olivier Groulx\groulbe01,CA,C,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,
55,Arizona Coyotes,Kevin Bahl\bahlke01,CA,D,18,,Ottawa 67's (OHL),,,,,,,,,,,,
56,Montreal Canadiens,Jacob Olofsson\olofsja01,SE,C,18,,Timra (Sweden-2),,,,,,,,,,,,
57,Boston Bruins,Axel Andersson\anderax01,SE,D,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
58,Pittsburgh Penguins,Filip Hallander\hallafi01,SE,C,18,,Timra (Sweden-2),,,,,,,,,,,,
59,Tampa Bay Lightning,Gabriel Fortier\fortiga01,CA,LW,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,
60,Winnipeg Jets,David Gustafsson\gustada01,SE,C,18,,HV 71 (Sweden),,,,,,,,,,,,
61,Vegas Golden Knights,Ivan Morozov\moroziv01,RU,C,18,,Khanty-Mansiysk 2 (Russia-Jr.),,,,,,,,,,,,
62,Edmonton Oilers,Olivier Rodrigue\rodriol01,CA,G,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,
63,Minnesota Wild,Jack McBain\mcbaija03,CA,C,18,,Toronto JC (OJHL),,,,,,,,,,,,
64,Colorado Avalanche,Justus Annunen\annunju01,FI,G,18,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,
65,Arizona Coyotes,Jan Jenik\jenikja01,CZ,RW,18,,Benatky N.J. (Czech-2),,,,,,,,,,,,
66,Montreal Canadiens,Cameron Hillis\hillica01,CA,C,18,,Guelph Storm (OHL),,,,,,,,,,,,
67,Detroit Red Wings,Alec Regula\regulal01,US,D,18,,London Knights (OHL),,,,,,,,,,,,
68,Vancouver Canucks,Tyler Madden\maddety01,US,C,18,,Tri-City (USHL),,,,,,,,,,,,
69,Chicago Blackhawks,Jake Wise\wiseja01,US,C,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
70,New York Rangers,Jacob Ragnarsson\ragnaja01,US,D,18,,Almtuna (Sweden-2),,,,,,,,,,,,
71,Montreal Canadiens,Jordan Harris\harrijo01,US,D,18,,Kimball Union (High-NH),,,,,,,,,,,,
72,New York Islanders,Jakub Skarek\skareja01,CZ,G,18,,Jihlava (Czech),,,,,,,,,,,,
73,Arizona Coyotes,Ty Emberson\emberty01,US,D,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
74,Chicago Blackhawks,Niklas Nordgren\nordgni02,FI,RW,18,,Hifk Jr. (Finland-Jr.),,,,,,,,,,,,
75,Dallas Stars,Oskar Back\backos01,SE,C,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
76,Toronto Maple Leafs,Semyon Der-Arguchintsev\derarse01,RU,C,18,,Peterborough Petes (OHL),,,,,,,,,,,,
77,Boston Bruins,Jakub Lauko\laukoja01,CZ,C,18,,Chomutov (Czech),,,,,,,,,,,,
78,Colorado Avalanche,Sampo Ranta\rantasa01,FI,LW,18,,Sioux City (USHL),,,,,,,,,,,,
79,Anaheim Ducks,Blake McLaughlin\mclaubl01,US,LW,18,,Chicago (USHL),,,,,,,,,,,,
80,Columbus Blue Jackets,Marcus Karlberg\karlbma01,SE,LW,18,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,
81,Detroit Red Wings,Seth Barton\bartose01,CA,D,19,,Trail (BCHL),,,,,,,,,,,,
82,Los Angeles Kings,Bulat Shafigullin\shafibu01,RU,LW,18,,Nizhnekamsk 2 (Russia-Jr.),,,,,,,,,,,,
83,Toronto Maple Leafs,Riley Stotts\stottri01,CA,C,18,,Calgary Hitmen (WHL),,,,,,,,,,,,
84,Detroit Red Wings,Jesper Eliasson\eliasje01,SE,G,18,,Troja-Ljungby Jr. (SWEDEN-JR. 2),,,,,,,,,,,,
85,Anaheim Ducks,Lukas Dostal\dostalu01,CZ,G,18,,Trebic (Czech-2),,,,,,,,,,,,
86,Minnesota Wild,Alexander Khovanov\khovaal01,RU,C,18,,Moncton Wildcats (QMJHL),,,,,,,,,,,,
87,San Jose Sharks,Linus Karlsson\karlsli01,SE,C,18,,Karlskrona Jr. (Sweden-Jr.),,,,,,,,,,,,
88,New York Rangers,Joey Keane\keanejo01,US,D,19,,Barrie Colts (OHL),,,,,,,,,,,,
89,Florida Panthers,Logan Hutsko\hutsklo01,US,RW,19,,Boston College (H-East),,,,,,,,,,,,
90,Tampa Bay Lightning,Dmitry Semykin\semykdm01,RU,D,18,,Stupino 2 (Russia-Jr.),,,,,,,,,,,,
91,Winnipeg Jets,Nathan Smith\smithna03,US,C,19,,Cedar Rapids (USHL),,,,,,,,,,,,
92,Minnesota Wild,Connor Dewar\dewarco01,CA,C,19,,Everett Silvertips (WHL),,,,,,,,,,,,
93,Washington Capitals,Riley Sutter\sutteri02,CA,RW,18,,Everett Silvertips (WHL),,,,,,,,,,,,
94,Buffalo Sabres,Matej Pekar\pekarma01,CZ,C,18,,Muskegon (USHL),,,,,,,,,,,,
95,Ottawa Senators,Jonathan Gruden\grudejo02,CA,C,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
96,Carolina Hurricanes,Luke Henman\henmalu01,CA,C,18,,Blainville-Boisbriand Armada (QMJHL),,,,,,,,,,,,
97,Montreal Canadiens,Allan McShane\mcshaal01,CA,C,18,,Oshawa Generals (OHL),,,,,,,,,,,,
98,Detroit Red Wings,Ryan O'Reilly\oreilry02,US,RW,18,,Madison (USHL),,,,,,,,,,,,
99,Vegas Golden Knights,Stanislav Demin\deminst01,US,D,18,,Wenatchee (BCHL),,,,,,,,,,,,
100,Dallas Stars,Adam Mascherin\maschad01,CA,LW,20,,Kitchener Rangers (OHL),,,,,,,,,,,,
101,New York Rangers,Nico Gross\grossni02,CH,D,18,,Oshawa Generals (OHL),,,,,,,,,,,,
102,San Jose Sharks,Jasper Weatherby\weathja01,US,C,20,,Wenatchee (BCHL),,,,,,,,,,,,
103,New York Islanders,Jacob Pivonka\pivonja01,US,C,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
104,Carolina Hurricanes,Lenni Killinen\killile01,FI,RW,18,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,
105,Calgary Flames,Martin Pospisil\pospima01,SK,C,18,,Sioux City (USHL),,,,,,,,,,,,
106,Dallas Stars,Curtis Douglas\douglcu01,CA,C,18,,Windsor Spitfires (OHL),,,,,,,,,,,,
107,St. Louis Blues,Joel Hofer\hoferjo01,CA,G,18,,Swift Current Broncos (WHL),,,,,,,,,,,,
108,Calgary Flames,Demetrios Koumontzis\koumode01,US,LW,18,,Edina (High-MN),,,,,,,,,,,,
109,Colorado Avalanche,Tyler Weiss\weissty01,US,LW,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
110,New Jersey Devils,Xavier Bernard\bernaxa01,CA,D,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,
111,Nashville Predators,Jachym Kondelik\kondeja01,DE,C,18,,Muskegon (USHL),,,,,,,,,,,,
112,Philadelphia Flyers,John St. Ivany\stivajo01,US,D,19,,Sioux Falls (USHL),,,,,,,,,,,,
113,Los Angeles Kings,Aidan Dudas\dudasai01,CA,C,18,,Owen Sound Attack (OHL),,,,,,,,,,,,
114,Arizona Coyotes,Ivan Prosvetov\prosviv01,RU,G,19,,Youngstown (USHL),,,,,,,,,,,,
115,Vegas Golden Knights,Paul Cotter\cottepa01,US,C,18,,Lincoln (USHL),,,,,,,,,,,,
116,Anaheim Ducks,Jackson Perbix\perbija01,US,RW,18,,Elk River (High-MN),,,,,,,,,,,,
117,Buffalo Sabres,Linus Lindstrand Cronholm\lindsli03,SE,D,18,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,
118,Toronto Maple Leafs,Mac Hollowell\holloma01,CA,D,19,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,
119,Boston Bruins,Curtis Hall\hallcu01,US,C,18,,Youngstown (USHL),,,,,,,,,,,,
120,Chicago Blackhawks,Philipp Kurashev\kurasph01,CH,C,18,,Quebec Remparts (QMJHL),,,,,,,,,,,,
121,Tampa Bay Lightning,Alexander Green\greenal01,US,D,20,,Cornell (ECAC),,,,,,,,,,,,
122,Calgary Flames,Milos Roman\romanmi01,SK,C,18,,Vancouver Giants (WHL),,,,,,,,,,,,
123,Montreal Canadiens,Jack Gorniak\gornija01,US,LW,19,,West Salem (High-WI),,,,,,,,,,,,
124,Washington Capitals,Mitchell Gibson\gibsomi01,US,G,19,,Lone Star (NAHL),,,,,,,,,,,,
125,Buffalo Sabres,Miska Kukkonen\kukkomi01,FI,D,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,
126,Ottawa Senators,Angus Crookshank\crookan01,CA,LW,18,,Langley (BCHL),,,,,,,,,,,,
127,Philadelphia Flyers,Wyatte Wylie\wyliewy01,US,D,18,,Everett Silvertips (WHL),,,,,,,,,,,,
128,Montreal Canadiens,Cole Fonstad\fonstco01,CA,C,18,,Prince Albert Raiders (WHL),,,,,,,,,,,,
129,Pittsburgh Penguins,Justin Almeida\almeiju01,CA,C,19,,Moose Jaw Warriors (WHL),,,,,,,,,,,,
130,Vancouver Canucks,Toni Utunen\utuneto01,FI,D,18,,Leki (Finland-2),,,,,,,,,,,,
131,Nashville Predators,Spencer Stastney\stastsp01,US,D,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
132,New York Rangers,Lauri Pajuniemi\pajunla01,FI,RW,19,,TPS (Finland),,,,,,,,,,,,
133,Montreal Canadiens,Samuel Houde\houdesa01,CA,C,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,
134,New York Islanders,Blade Jenkins\jenkibl01,US,LW,18,,Saginaw Spirit (OHL),,,,,,,,,,,,
135,Vegas Golden Knights,Brandon Kruse\krusebr01,US,LW,19,,Bowling Green (WCHA),,,,,,,,,,,,
136,New Jersey Devils,Akira Schmid\schmiak01,CH,G,18,,Langnau Jr. (SWISS-JR.),,,,,,,,,,,,
137,Dallas Stars,Riley Damiani\damiari01,CA,C,18,,Kitchener Rangers (OHL),,,,,,,,,,,,
138,St. Louis Blues,Hugh McGing\mcginhu01,US,LW,20,,Western Michigan (NCHC),,,,,,,,,,,,
139,Chicago Blackhawks,Mikael Hakkarainen\hakkami01,FI,C,20,,Muskegon (USHL),,,,,,,,,,,,
140,Colorado Avalanche,Brandon Saigeon\saigebr01,CA,C,20,,Hamilton Bulldogs (OHL),,,,,,,,,,,,
141,New Jersey Devils,Yegor Sharangovich\sharaye01,BY,C,20,,Dynamo Minsk (Russia),,,,,,,,,,,,
142,Arizona Coyotes,Michael Callahan\callami02,US,D,18,,Youngstown (USHL),,,,,,,,,,,,
143,Philadelphia Flyers,Samuel Ersson\erssosa01,SE,G,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,
144,Los Angeles Kings,David Hrenak\hrenada01,SK,G,20,,St. Cloud State (NCHC),,,,,,,,,,,,
145,Arizona Coyotes,Dennis Busby\busbyde01,CA,D,18,,Flint Firebirds (OHL),,,,,,,,,,,,
146,Colorado Avalanche,Danila Zhuravlyov\zhurada01,RU,D,18,,Irbis Kazan (Russia-Jr.),,,,,,,,,,,,
147,Anaheim Ducks,Roman Durny\durnyro01,SK,G,20,,Des Moines (USHL),,,,,,,,,,,,
148,Minnesota Wild,Simon Johansson\johansi01,SE,D,19,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
149,Toronto Maple Leafs,Filip Kral\kralfi01,CZ,D,18,,Spokane Chiefs (WHL),,,,,,,,,,,,
150,Winnipeg Jets,Declan Chisholm\chishde01,CA,D,18,,Peterborough Petes (OHL),,,,,,,,,,,,
151,Nashville Predators,Vladislav Yeryomenko\yeryovl01,BY,D,19,,Calgary Hitmen (WHL),,,,,,,,,,,,
152,Tampa Bay Lightning,Magnus Chrona\chronma01,SE,G,18,,Nacka (Sweden-Jr.),,,,,,,,,,,,
153,Winnipeg Jets,Giovanni Vallati\vallagi01,CA,D,18,,Kitchener Rangers (OHL),,,,,,,,,,,,
154,Vegas Golden Knights,Connor Corcoran\corcoco01,CA,D,18,,Windsor Spitfires (OHL),,,,,,,,,,,,
155,Minnesota Wild,Damien Giroux\girouda01,CA,C,18,,Saginaw Spirit (OHL),,,,,,,,,,,,
156,Toronto Maple Leafs,Pontus Holmberg\holmbpo01,SE,RW,19,,Vasteras (SWEDEN-3),,,,,,,,,,,,
157,Ottawa Senators,Kevin Mandolese\mandoke01,CA,G,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,
158,Arizona Coyotes,David Tendeck\tendeda01,CA,G,18,,Vancouver Giants (WHL),,,,,,,,,,,,
159,Columbus Blue Jackets,Tim Berni\berniti01,CH,D,18,,GCK Zurich (SWISS-2),,,,,,,,,,,,
160,Detroit Red Wings,Victor Brattstrom\brattvi01,SE,G,21,,Timra Jr. (Sweden-Jr.),,,,,,,,,,,,
161,Washington Capitals,Alex Kannok-Leipert\kannoal01,TH,D,18,,Vancouver Giants (WHL),,,,,,,,,,,,
162,Chicago Blackhawks,Alexis Gravel\graveal01,DE,G,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,
163,New York Rangers,Simon Kjellberg\kjellsi01,US,D,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,
164,Edmonton Oilers,Michael Kesselring\kessemi01,US,D,18,,New Hampton School (High-NH),,,,,,,,,,,,
165,Los Angeles Kings,Johan Sodergran\soderjo01,SE,RW,18,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
166,Carolina Hurricanes,Jesper Sellgren\sellgje01,SE,D,20,,Modo (Sweden-2),,,,,,,,,,,,
167,Calgary Flames,Mathias Emilio Pettersen\emilima01,NO,C,18,,Muskegon (USHL),,,,,,,,,,,,
168,Dallas Stars,Dawson Barteaux\barteda01,CA,D,18,,Red Deer Rebels (WHL),,,,,,,,,,,,
169,St. Louis Blues,Mathias Laferriere\laferma01,CA,RW,18,,Cape Breton Screaming Eagles (QMJHL),,,,,,,,,,,,
170,Florida Panthers,Justin Schutz\schutju01,DE,LW,18,,RB Hockey Akademia (Czech-Jr.U18),,,,,,,,,,,,
171,Colorado Avalanche,Nikolai Kovalenko\kovalni01,US,RW,18,,Yaroslavl 2 (Russia-Jr.),,,,,,,,,,,,
172,New Jersey Devils,Mitchell Hoelscher\hoelsmi01,CA,C,18,,Ottawa 67's (OHL),,,,,,,,,,,,
173,Columbus Blue Jackets,Veini Vehvilainen\vehvive01,FI,G,21,,Karpat (Finland),,,,,,,,,,,,
174,Philadelphia Flyers,Gavin Hain\hainga01,US,C,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
175,Los Angeles Kings,Jacob Ingham\inghaja01,CA,G,18,,Mississauga Steelheads (OHL),,,,,,,,,,,,
176,San Jose Sharks,Zachary Emond\emondza01,CA,G,18,,Rouyn-Noranda Huskies (QMJHL),,,,,,,,,,,,
177,Pittsburgh Penguins,Liam Gorman\gormali01,US,C,18,,St. Sebastians School (High-MA),,,,,,,,,,,,
178,Anaheim Ducks,Hunter Drew\drewhu01,CA,D,19,,Charlottetown Islanders (QMJHL),,,,,,,,,,,,
179,Minnesota Wild,Shawn Boudrias\boudrsh01,CA,RW,19,,Gatineau Olympiques (QMJHL),,,,,,,,,,,,
180,Vegas Golden Knights,Peter Diliberatore\dilibpe01,CA,D,18,,Salisbury (HIGH-CT),,,,,,,,,,,,
181,Boston Bruins,Dustyn McFaul\mcfaudu01,CA,D,18,,Pickering (OJHL),,,,,,,,,,,,
182,San Jose Sharks,John Leonard\leonajo01,US,LW,20,,Massachusetts-Lowell (H-East),,,,,,,,,,,,
183,Tampa Bay Lightning,Cole Koepke\koepkco01,US,LW,20,,Sioux City (USHL),,,,,,,,,,,,
184,Winnipeg Jets,Jared Moe\moeja01,US,G,19,,Waterloo (USHL),,,,,,,,,,,,
185,Vegas Golden Knights,Xavier Bouchard\bouchxa01,CA,D,18,,Baie-Comeau Drakkar (QMJHL),,,,,,,,,,,,
186,Vancouver Canucks,Artyom Manukyan\manukar01,RU,RW,20,,OMSK 2 (Russia-Jr.),,,,,,,,,,,,
187,Buffalo Sabres,William Worge Kreu\worgewi01,SE,D,18,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
188,Ottawa Senators,Jakov Novak\novakja01,CA,LW,19,,Janesville (NAHL),,,,,,,,,,,,
189,Arizona Coyotes,Liam Kirk\kirkli01,GB,LW,18,,Sheffield (England),,,,,,,,,,,,
190,Montreal Canadiens,Brett Stapley\staplbr02,CA,C,19,,Vernon (BCHL),,,,,,,,,,,,
191,Detroit Red Wings,Otto Kivenmaki\kivenot01,FI,C,18,,Assat Jr. (Finland-Jr.),,,,,,,,,,,,
192,Vancouver Canucks,Matthew Thiessen\thiesma01,CA,G,18,,Steinbach (MJHL),,,,,,,,,,,,
193,Chicago Blackhawks,Josiah Slavin\slavijo01,US,LW,19,,Lincoln (USHL),,,,,,,,,,,,
194,Ottawa Senators,Luke Loheit\loheilu01,US,RW,18,,Minnetonka (High-MN),,,,,,,,,,,,
195,Edmonton Oilers,Patrik Siikanen\siikapa01,FI,C,18,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,
196,New York Islanders,Christian Krygier\krygich01,US,D,18,,Lincoln (USHL),,,,,,,,,,,,
197,Carolina Hurricanes,Jacob Kucharski\kuchaja01,US,G,18,,Des Moines (USHL),,,,,,,,,,,,
198,Calgary Flames,Dmitry Zavgorodniy\zavgodm01,RU,LW,18,,Rimouski Oceanic (QMJHL),,,,,,,,,,,,
199,Dallas Stars,Jermaine Loewen\loeweje01,JM,LW,20,,Kamloops Blazers (WHL),,,,,,,,,,,,
200,St. Louis Blues,Tyler Tucker\tuckety01,CA,D,18,,Barrie Colts (OHL),,,,,,,,,,,,
201,Florida Panthers,Cole Krygier\krygico01,US,D,18,,Lincoln (USHL),,,,,,,,,,,,
202,Colorado Avalanche,Shamil Shmakov\shmaksh01,RU,G,19,,Novosibirsk 2 (Russia-Jr.),,,,,,,,,,,,
203,New Jersey Devils,Eetu Pakkila\pakkiee01,FI,LW,18,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,
204,Columbus Blue Jackets,Trey Fix-Wolansky\fixwotr01,CA,RW,19,,Edmonton Oil Kings (WHL),,,,,,,,,,,,
205,Philadelphia Flyers,Marcus Westfalt\westfma01,SE,C,18,,Brynas (Sweden),,,,,,,,,,,,
206,Tampa Bay Lightning,Radim Salda\saldara01,CZ,D,19,,Saint John Sea Dogs (QMJHL),,,,,,,,,,,,
207,Florida Panthers,Santtu Kinnunen\kinnusa01,FI,D,19,,Pelicans Jr. (Finland-Jr.),,,,,,,,,,,,
208,Vegas Golden Knights,Jordan Kooy\kooyjo01,CA,G,18,,London Knights (OHL),,,,,,,,,,,,
209,Toronto Maple Leafs,Zachary Bouthillier\bouthza01,CA,G,18,,Chicoutimi Sagueneens (QMJHL),,,,,,,,,,,,
210,Minnesota Wild,Sam Hentges\hentgsa01,US,C,19,,Des Moines (USHL),,,,,,,,,,,,
211,Toronto Maple Leafs,Semyon Kizimov\kizimse01,RU,RW,18,,Togliatti 2 (Russia-Jr.),,,,,,,,,,,,
212,Boston Bruins,Pavel Shen\shenpa01,RU,C,19,,Khanty-Mansiysk 2 (Russia-Jr.),,,,,,,,,,,,
213,Nashville Predators,Milan Kloucek\kloucmi01,CZ,G,20,,Pardubice (Czech),,,,,,,,,,,,
214,Tampa Bay Lightning,Ty Taylor\tayloty01,CA,G,19,,Vernon (BCHL),,,,,,,,,,,,
215,Winnipeg Jets,Austin Wong\wongau01,CA,C,18,,Okotoks (AJHL),,,,,,,,,,,,
216,New York Rangers,Riley Hughes\hugheri01,US,RW,18,,St. Sebastians School (High-MA),,,,,,,,,,,,
217,Washington Capitals,Eric Florchuk\florcer01,CA,C,18,,Saskatoon Blades (WHL),,,,,,,,,,,,
